AF3,F7,F3,FC5,T7,P7,O1,02,P8,T8,FC6,F4,F8,AF4,label
4299.49,3997.44,4277.95,4116.92,4353.85,4623.08,4100.0,4623.59,4202.56,4229.23,4211.79,4278.97,4600.0,4369.23,1
4302.05,3985.64,4261.03,4129.74,4334.36,4615.38,4072.31,4585.64,4192.31,4225.13,4195.9,4283.08,4607.18,4358.46,0
4321.03,4015.9,4265.13,4122.56,4333.33,4613.33,4072.82,4602.05,4192.31,4223.08,4155.38,4286.15,4608.21,4371.79,0
4408.21,4104.1,4380.0,4232.31,4449.74,4750.26,4169.23,4731.28,4311.28,4352.31,4319.49,4388.21,4715.9,4464.1,0
4347.18,3975.38,4266.67,4102.56,4333.33,4617.95,4097.44,4612.82,4210.77,4240.51,4248.21,4313.33,4664.1,4411.79,1
4292.82,4007.18,4275.38,4120.0,4336.92,4620.51,4059.49,4614.36,4194.87,4229.23,4158.46,4270.26,4600.51,4353.33,0
4295.9,4017.44,4261.54,4120.0,4343.59,4636.41,4063.08,4620.0,4203.08,4225.13,4195.9,4271.28,4591.79,4350.77,0
4317.44,3981.03,4283.59,4121.03,4351.28,4635.38,4091.28,4633.85,4210.77,4257.44,4234.87,4295.9,4658.97,4407.18,1
4306.67,4017.44,4249.23,4135.38,4339.49,4631.28,4081.54,4609.23,4202.56,4245.13,4194.87,4274.87,4596.41,4375.9,0
4309.23,4019.49,4282.05,4119.49,4352.82,4627.18,4088.21,4625.64,4217.95,4253.85,4225.64,4296.41,4621.54,4383.08,0
4257.95,4009.23,4235.9,4121.03,4332.82,4618.46,4059.49,4581.03,4175.38,4226.67,4177.95,4249.23,4578.46,4326.67,0
4381.54,4069.74,4294.87,4168.21,4348.21,4614.87,4054.87,4592.82,4179.49,4208.72,4202.05,4292.82,4617.95,4415.38,0
4286.15,4014.87,4255.38,4122.05,4337.95,4614.87,4070.26,4599.49,4197.44,4249.74,4210.77,4277.44,4621.54,4347.69,1
4309.23,4031.28,4268.21,4136.92,4352.31,4629.74,4084.62,4611.28,4188.72,4225.64,4195.38,4263.08,4579.49,4363.08,1
4293.33,4030.26,4266.67,4133.33,4337.44,4615.9,4068.72,4608.21,4204.62,4214.36,4196.92,4276.92,4611.28,4345.13,0
4285.13,3993.85,4261.03,4100.0,4322.56,4602.56,4052.31,4608.21,4191.28,4229.23,4192.31,4270.77,4592.82,4352.31,1
4285.13,4008.21,4262.05,4110.77,4335.38,4609.74,4048.21,4611.28,4195.38,4219.49,4191.28,4267.18,4605.13,4337.95,1
4293.85,4001.03,4263.08,4124.1,4338.46,4622.56,4054.87,4615.9,4197.95,4217.95,4196.92,4283.59,4615.9,4357.44,0
4308.72,4031.79,4277.95,4114.36,4338.97,4620.51,4056.92,4623.59,4212.82,4244.1,4173.33,4271.79,4598.97,4374.36,0
4322.05,4054.87,4276.92,4151.79,4358.97,4646.67,4084.62,4616.41,4214.36,4256.92,4211.79,4282.05,4610.26,4379.49,1
4301.03,3987.18,4276.92,4112.31,4361.03,4637.44,4089.23,4628.72,4208.72,4247.69,4222.05,4285.64,4636.92,4385.13,1
4298.46,4011.28,4255.9,4111.79,4346.15,4573.33,4103.59,4627.18,4207.18,4236.41,4200.0,4272.31,4593.33,4345.13,0
4288.72,3983.59,4265.13,4104.62,4331.28,4613.85,4049.74,4613.33,4193.33,4211.79,4188.21,4270.77,4586.15,4331.79,1
4283.08,3985.64,4252.31,4107.18,4326.67,4604.1,4045.64,4608.72,4192.31,4232.31,4189.74,4257.44,4592.31,4352.82,0
4390.26,4054.87,4349.23,4194.87,4420.51,4692.82,4154.36,4687.69,4272.82,4314.36,4300.0,4355.9,4703.59,4463.59,1
4290.77,4004.62,4261.54,4124.62,4335.9,4611.28,4043.08,4608.72,4189.74,4212.31,4189.74,4258.97,4587.18,4348.72,1
4286.67,4003.59,4266.67,4135.9,4344.62,4614.87,4056.41,4602.05,4182.56,4212.82,4196.92,4273.33,4593.33,4354.36,0
4304.62,4014.87,4277.44,4141.03,4349.74,4632.82,4074.36,4629.74,4223.59,4247.18,4220.0,4284.1,4605.13,4360.0,0
4255.38,4018.97,4229.23,4120.0,4343.08,4601.54,4059.49,4613.33,4182.56,4216.92,4178.46,4257.44,4552.82,4315.9,0
4232.31,3992.82,4231.79,4092.82,4345.13,4615.9,4054.36,4612.31,4173.33,4210.26,4172.31,4251.28,4539.49,4290.26,0
4275.38,3989.74,4261.03,4089.74,4338.46,4621.54,4088.72,4627.18,4204.62,4225.64,4204.1,4280.51,4589.74,4348.72,0
4229.23,4017.44,4241.03,4127.18,4340.0,4616.41,4053.85,4592.82,4170.26,4175.9,4125.64,4236.41,4474.87,4260.51,0
4287.69,3997.44,4260.0,4121.03,4333.33,4616.41,4088.72,4638.46,4212.31,4226.67,4167.69,4274.36,4597.95,4350.77,1
4295.9,4011.28,4249.23,4126.67,4331.28,4603.08,4059.49,4597.44,4200.51,4218.97,4187.69,4266.67,4587.69,4357.44,1
4267.18,3997.95,4248.72,4120.51,4347.69,4617.95,4074.87,4615.38,4201.03,4230.77,4193.85,4252.82,4605.13,4330.77,0
4298.97,3993.85,4265.64,4123.59,4346.67,4626.15,4075.38,4621.54,4190.77,4234.36,4211.28,4281.54,4621.03,4363.08,0
4296.41,4003.59,4251.28,4118.97,4333.85,4620.0,4052.82,4610.26,4198.97,4240.0,4220.51,4285.13,4631.28,4365.64,0
4297.44,3986.67,4257.95,4108.72,4343.08,4617.44,4046.67,4624.1,4202.56,4237.95,4202.56,4281.54,4600.51,4361.54,1
4382.05,4063.08,4329.23,4188.21,4412.82,4688.72,4153.33,4682.56,4270.26,4298.46,4267.69,4342.56,4687.69,4437.44,1
4284.1,4039.49,4252.82,4117.95,4347.69,4623.08,4076.41,4603.59,4201.54,4217.95,4189.74,4263.59,4596.41,4340.0,0
4282.05,4003.59,4244.62,4107.18,4341.54,4621.54,4061.54,4616.41,4210.26,4236.92,4202.05,4269.74,4598.97,4344.62,0
4276.92,3963.08,4231.28,4105.13,4320.51,4591.28,4073.33,4598.46,4192.82,4219.49,4178.46,4266.67,4596.92,4348.72,1
4293.33,3982.56,4253.33,4108.72,4344.1,4622.05,4052.82,4620.51,4202.56,4238.46,4209.23,4277.44,4606.15,4358.97,1
4330.26,4009.74,4304.1,4142.56,4371.79,4656.41,4113.33,4649.23,4226.67,4246.67,4193.85,4305.64,4610.77,4377.95,1
4291.79,4046.67,4260.0,4109.74,4337.95,4619.49,4067.69,4608.72,4192.31,4217.95,4182.05,4271.79,4598.46,4348.21,0
4306.67,4010.77,4270.77,4142.56,4350.77,4631.79,4073.33,4609.23,4194.36,4226.67,4214.36,4274.87,4598.97,4353.85,0
4291.28,3997.44,4262.05,4118.46,4329.23,4617.44,4053.33,4627.18,4206.15,4225.13,4195.9,4279.49,4605.13,4353.85,0
4293.85,4054.87,4261.54,4122.05,4360.0,4629.74,4067.69,4603.08,4210.26,4229.74,4190.26,4275.9,4609.74,4348.21,0
4321.54,4040.51,4266.15,4123.59,4352.31,4624.1,4106.15,4608.21,4209.23,4230.26,4219.49,4292.82,4623.08,4370.77,1
4283.59,3989.74,4264.1,4110.77,4331.28,4619.49,4061.54,4619.49,4190.26,4223.59,4170.26,4268.72,4583.08,4351.79,0
4314.36,4062.56,4263.08,4129.74,4352.82,4633.33,4077.44,4612.82,4218.46,4243.59,4217.44,4283.59,4627.69,4374.87,0
4270.26,4021.54,4264.62,4133.33,4343.08,4637.44,4128.72,4625.13,4222.56,4221.54,4182.05,4281.03,4553.85,4301.54,1
4272.82,3978.97,4246.15,4101.54,4328.72,4601.03,4054.87,4624.1,4206.15,4221.03,4207.69,4270.77,4591.28,4346.15,1
4266.15,3937.44,4228.21,4081.54,4327.18,4601.54,4064.62,4603.08,4184.62,4222.56,4183.59,4258.46,4567.69,4320.51,1
4328.21,4059.49,4290.26,4162.05,4373.85,4649.74,4102.05,4646.67,4217.44,4227.18,4213.33,4298.46,4605.13,4372.82,0
4276.92,3987.69,4247.18,4110.26,4327.18,4606.15,4047.18,4604.62,4190.77,4217.95,4188.72,4264.62,4577.44,4337.95,1
4298.97,4020.0,4270.26,4136.92,4332.82,4615.38,4044.1,4609.23,4201.03,4228.21,4205.64,4276.41,4622.56,4358.46,1
4277.95,4043.08,4255.9,4117.44,4345.13,4620.51,4070.26,4598.46,4191.79,4210.26,4180.0,4258.97,4590.77,4336.92,0
4362.56,3983.08,4273.33,4115.38,4336.41,4624.62,4104.62,4627.18,4212.82,4233.85,4245.13,4324.62,4663.08,4421.03,1
4296.92,4000.51,4281.54,4125.13,4347.69,4622.05,4070.77,4625.13,4213.85,4239.49,4218.97,4291.79,4615.9,4373.85,0
4295.38,4044.62,4273.85,4120.51,4337.95,4621.54,4065.13,4608.21,4195.38,4228.21,4195.9,4281.03,4608.72,4354.87,0
4291.28,4038.97,4262.05,4135.38,4349.23,4628.21,4075.9,4608.21,4203.08,4220.0,4199.49,4268.21,4613.85,4349.23,0
4280.0,4013.33,4264.1,4128.21,4335.9,4624.1,4087.18,4618.97,4193.85,4223.59,4190.26,4270.77,4587.18,4336.92,1
4284.62,3980.51,4239.49,4100.51,4339.49,4617.44,4056.41,4603.59,4198.46,4233.85,4204.1,4258.46,4602.56,4341.54,0
4315.38,4008.21,4277.95,4122.05,4343.59,4617.44,4050.26,4609.23,4199.49,4229.74,4210.77,4280.51,4615.9,4362.56,1
4309.74,4015.9,4254.87,4118.46,4350.26,4626.67,4066.67,4628.72,4225.64,4255.38,4183.59,4267.18,4619.49,4363.59,1
